source,vertical,datasets,year,observed
nanaimo.ca/datafeeds,government,34,2023,2/11/23
data.nantesmetropole.fr/pages/home/,government,1712,2023,2/11/23
data.overheid.nl/,government,21573,2023,2/11/23
data.nj.gov/,government,533,2023,2/11/23
data.nola.gov/,government,222,2023,2/11/23
data.nsw.gov.au/,government,15021,2023,2/11/23
data.ny.gov/,government,5659,2023,2/11/23
nyc.gov/data/,government,3583,2023,2/11/23
data.govt.nz/,government,32065,2023,2/11/23
niagarafalls.ca/services/open/data,government,115,2023,2/11/23
niagararegion.ca/government/opendata/default.aspx,government,301,2023,2/11/23
gis.nd.gov/,government,376,2023,2/11/23
data.norge.no/,government,1657,2023,2/11/23
health.data.ny.gov/,government,595,2023,2/11/23
data.ok.gov/,government,342,2023,2/11/23
maps.amsterdam.nl/open_geodata/,government,372584,2023,2/11/23
data.oregon.gov/,government,1891,2023,2/11/23
data.ottawa.ca/,government,450,2023,2/11/23
data.cityofpaloalto.org/,government,418,2023,2/11/23
opendata.paris.fr/explore/?sort=modified,government,341,2023,2/11/23
data.pa.gov/,government,728,2023,2/11/23
opendataphilly.org/,government,384,2023,2/11/23
data.gov.ph/,government,171,2023,2/11/23
dati.piemonte.it/,government,955,2023,2/11/23
dados.gov.pt/pt/inicio/inicio.aspx,government,5594,2023,2/11/23
data-cityofpg.opendata.arcgis.com/,government,160,2023,2/11/23
data.providenceri.gov/,government,346,2023,2/11/23
dati.puglia.it/,government,168,2023,2/11/23
data.qld.gov.au/,government,3349,2023,2/11/23
raleighnc.gov/open/,government,200,2023,2/11/23
data.reddeer.ca/datasets,government,19,2023,2/11/23
data.redbridge.gov.uk/,government,11,2023,2/11/23
open.regina.ca/,government,494,2023,2/11/23
opendata.peelregion.ca/,government,151,2023,2/11/23
data.rennesmetropole.fr/explore/,government,487,2023,2/11/23
data.go.kr/,government,77768,2023,2/11/23
researchdata.ands.org.au/,government,203361,2023,2/11/23
daten.rlp.de/,government,6214,2023,2/11/23
data.illinois.gov/organization/city-of-rockford,government,29,2023,2/11/23
data.gov.ro/,government,3260,2023,2/11/23
opendata-hro.de/,government,250,2023,2/11/23
salforddataquay.uk/,government,67,2023,2/11/23
datasf.org/,government,538,2023,2/11/23
data.smcgov.org/,government,1556,2023,2/11/23
governoaberto.sp.gov.br/view/,government,484,2023,2/11/23
sardegnageoportale.it/index.html,government,3,2023,2/11/23
saskatoon.ca/moving-around/transit/open-data-saskatoon-transit,government,60,2023,2/11/23
data.seattle.gov/,government,1018,2023,2/11/23
data.seoul.go.kr/,government,7397,2023,2/11/23
data.gov.sg/,government,1920,2023,2/11/23
data.gov.sk/,government,3109,2023,2/11/23
data.somervillema.gov/,government,57,2023,2/11/23
southafrica.opendataforafrica.org/,government,39,2023,2/11/23
data.sa.gov.au,government,1775,2023,2/11/23
data.southbendin.gov/,government,130,2023,2/11/23
datos.gob.es/,government,66106,2023,2/11/23
dataportalen.stockholm.se/dataportalen/,government,102,2023,2/11/23
surrey.ca/city-services/658.aspx,government,401,2023,2/11/23
tn.gov/finance/sts-gis/gis/data.html,government,10,2023,2/11/23
opendata.terrassa.cat/,government,140,2023,2/11/23
data.texas.gov/,government,1764,2023,2/11/23
toronto.ca/open,government,443,2023,2/11/23
data.toulouse-metropole.fr/pages/accueil/,government,611,2023,2/11/23
trafford.gov.uk/opendata/,government,18,2023,2/11/23
data.gov.tt/,government,24,2023,2/11/23
comune.torino.it/aperto,government,1983,2023,2/11/23
dati.toscana.it/,government,5441,2023,2/11/23
data.gov.ua/,government,28950,2023,2/11/23
bayanat.ae/,government,2610,2023,2/11/23
data.gov.uk/,government,53848,2023,2/11/23
data.un.org/,government,22,2023,2/11/23
data.vancouver.ca/,government,184,2023,2/11/23
dati.veneto.it/,government,3104,2023,2/11/23
dati.venezia.it/,government,257,2023,2/11/23
data.vermont.gov/,government,329,2023,2/11/23
geoportale.provincia.vicenza.it/home.asp?sezione=1&cat=8,government,9,2023,2/11/23
data.vic.gov.au/,government,5845,2023,2/11/23
data.wien.gv.at/,government,19,2023,2/11/23
data.virginia.gov,government,612,2023,2/11/23
wakegov.com/data/Pages/default.aspx,government,386,2023,2/11/23
data.wa.gov/,government,2522,2023,2/11/23
www2.landgate.wa.gov.au/web/guest/slipstream-e-news,government,2649,2023,2/11/23
citywindsor.ca/opendata/pages/open-data-catalogue.aspx,government,97,2023,2/11/23
data-wi-dnr.opendata.arcgis.com/,government,232,2023,2/11/23
geospatialhub.org/,government,929,2023,2/11/23
zaragoza.es/ciudad/risp/,government,214,2023,2/11/23
data.stadt-zuerich.ch/,government,734,2023,2/11/23
data.census.gov,government,5171,2023,2/11/23
research.google/resources/datasets/,private,139,2023,2/11/23
knb.ecoinformatics.org/data,nonprofit,28514,2023,2/11/23
